Date,RedFighter,BlueFighter,RedOdds,BlueOdds,Winner,WeightClass,TitleBout,Finish,Gender,RKOOdds,BKOOdds,RSubOdds,BSubOdds,R_decimal,B_decimal,Red_Profit_100,Blue_Profit_100,Favorite_Profit,Underdog_Profit,Year,Method_Simplified
2024-12-07,Alexandre Pantoja,Kai Asakura,-250.0,215.0,Red,Flyweight,True,SUB,MALE,400.0,350.0,150.0,2500.0,1.4,3.15,40.0,-100.0,40.0,-100.0,2024,Submission
2024-12-07,Shavkat Rakhmonov,Ian Machado Garry,-210.0,295.0,Red,Welterweight,False,U-DEC,MALE,240.0,700.0,180.0,3000.0,1.4761904761904763,3.95,47.62,-100.0,47.62,-100.0,2024,Decision
2024-12-07,Ciryl Gane,Alexander Volkov,-380.0,300.0,Red,Heavyweight,False,S-DEC,MALE,350.0,1100.0,1100.0,3000.0,1.263157894736842,4.0,26.32,-100.0,26.32,-100.0,2024,Decision
2024-12-07,Bryce Mitchell,Kron Gracie,-950.0,625.0,Red,Featherweight,False,KO/TKO,MALE,500.0,4000.0,380.0,1400.0,1.1052631578947367,7.25,10.53,-100.0,10.53,-100.0,2024,KO/TKO
2024-12-07,Nate Landwehr,Dooho Choi,-130.0,110.0,Blue,Featherweight,False,KO/TKO,MALE,300.0,250.0,500.0,700.0,1.7692307692307692,2.1,-100.0,110.0,-100.0,110.0,2024,KO/TKO
2024-12-07,Dominick Reyes,Anthony Smith,-380.0,300.0,Red,Light Heavyweight,False,KO/TKO,MALE,-125.0,800.0,1200.0,1200.0,1.263157894736842,4.0,26.32,-100.0,26.32,-100.0,2024,KO/TKO
2024-12-07,Vicente Luque,Themba Gorimbo,-650.0,-162.0,Red,Welterweight,False,SUB,MALE,600.0,450.0,450.0,900.0,1.1538461538461537,1.617283950617284,15.38,-100.0,15.38,-100.0,2024,Submission
2024-12-07,Movsar Evloev,Aljamain Sterling,-238.0,195.0,Red,Featherweight,False,U-DEC,MALE,550.0,1600.0,1600.0,1100.0,1.4201680672268908,2.95,42.02,-100.0,42.02,-100.0,2024,Decision
2024-12-07,Randy Brown,Bryan Battle,150.0,-180.0,Blue,Welterweight,False,S-DEC,MALE,450.0,300.0,1000.0,550.0,2.5,1.5555555555555556,-100.0,55.56,55.56,-100.0,2024,Decision
2024-12-07,Chris Weidman,Eryk Anders,-112.0,-108.0,Blue,Catch Weight,False,KO/TKO,MALE,650.0,380.0,1000.0,1800.0,1.8928571428571428,1.925925925925926,-100.0,92.59,-100.0,92.59,2024,KO/TKO
2024-12-07,Cody Durden,Joshua Van,142.0,-170.0,Blue,Flyweight,False,U-DEC,MALE,900.0,225.0,550.0,800.0,2.42,1.5882352941176472,-100.0,58.82,58.82,-100.0,2024,Decision
